DAR.in.Rat	Gene	DAR_logFC	DAR_FDR	type	Region	Group	Exp_logFC	Exp_FDR
"chr6,70843592,70844123"	Mir548ai	1.158990589	2.25E-05	DG_Sal	DG	Sal	0	1
"chr6,70878791,70880023"	Mir548ai	0.763228175	7.20E-06	DG_Sal	DG	Sal	0	1
"chr7,114271561,114272204"	Trappc9	0.631742084	0.000174491	DG_Sal	DG	Sal	-0.046616317	0.798050786
"chr7,67029701,67030221"	Ppm1h	0.896150542	6.96E-05	DG_Sal	DG	Sal	-0.206030622	0.126364477
"chr7,73579176,73580972"	Kcns2	0.957998065	1.21E-10	DG_Sal	DG	Sal	-0.512911274	0.006131872
"chr7,73579176,73580972"	Nipal2	0.957998065	1.21E-10	DG_Sal	DG	Sal	0.13046611	0.610484159
"chr7,75883485,75884506"	Grhl2	0.870137126	8.73E-14	DG_Sal	DG	Sal	0	1
"chr7,75883485,75884506"	Zfp706	0.870137126	8.73E-14	DG_Sal	DG	Sal	-0.500403933	2.35E-06
"chr8,129285459,129286809"	1700020M21Rik	0.624790464	6.80E-07	DG_Sal	DG	Sal	0	1
"chr8,129285459,129286809"	Rpl14	0.624790464	6.80E-07	DG_Sal	DG	Sal	0.167716566	0.219668033
"chr8,35760397,35761097"	Kirrel3	0.790922775	1.25E-07	DG_Sal	DG	Sal	-0.194495577	0.364591793
"chr8,62843046,62844427"	Ccdc33	0.595684913	9.52E-06	DG_Sal	DG	Sal	-1.027498821	0.027541383
"chr9,105030203,105031017"	Linc00491	0.711446427	5.03E-06	DG_Sal	DG	Sal	0	1
"chr9,18758178,18758706"	Runx2	0.697682192	1.67E-05	DG_Sal	DG	Sal	-0.062392581	0.933086144
"chr9,44859913,44860827"	Aff3	0.818224115	3.11E-05	DG_Sal	DG	Sal	-0.427773302	0.000414275
"chr9,44861370,44862340"	Aff3	0.835341556	2.30E-08	DG_Sal	DG	Sal	-0.427773302	0.000414275
"chr9,48621170,48621673"	LOC100287010	0.661764579	0.000975366	DG_Sal	DG	Sal	0	1
"chr9,48621170,48621673"	Tmem182	0.661764579	0.000975366	DG_Sal	DG	Sal	0	1
"chr9,89507687,89508330"	Gm17751	0.904694385	0.000119611	DG_Sal	DG	Sal	0	1
"chr9,89507687,89508330"	Slc4a3	0.904694385	0.000119611	DG_Sal	DG	Sal	0.454352398	0.002225799
"chr9,96854796,96855889"	Agap1	0.703655438	0.000287565	DG_Sal	DG	Sal	0.109501058	0.43496599
"chr1,51217545,51218554"	C6orf118	0.940509231	0.000205774	NAc_Sal	NAc	Sal	0	1
"chr1,51217545,51218554"	Qki	0.940509231	0.000205774	NAc_Sal	NAc	Sal	0	1
"chr11,78557736,78558391"	As2	1.287003333	3.57E-08	NAc_Sal	NAc	Sal	0	1
"chr11,78557736,78558391"	Tp63	1.287003333	3.57E-08	NAc_Sal	NAc	Sal	0	1
"chr11,78557736,78558391"	Tprg1	1.287003333	3.57E-08	NAc_Sal	NAc	Sal	0.042286936	0.800794129
"chr15,82857475,82858217"	Dach1	1.414194319	2.90E-08	NAc_Sal	NAc	Sal	0.85558415	5.75E-06
"chr15,82857475,82858217"	Mzt1	1.414194319	2.90E-08	NAc_Sal	NAc	Sal	0.144627362	0.628293905
"chr17,31332272,31332600"	Slc22a23	1.274872407	3.00E-09	NAc_Sal	NAc	Sal	0.083720419	0.521242929
"chr17,52444035,52444741"	Gli3	0.896824069	8.18E-14	NAc_Sal	NAc	Sal	0.084225961	0.545326075
"chr17,53018389,53019255"	AW209491	1.125752553	3.16E-14	NAc_Sal	NAc	Sal	0	1
"chr17,53018389,53019255"	Gli3	1.125752553	3.16E-14	NAc_Sal	NAc	Sal	0.084225961	0.545326075
"chr18,76843295,76844564"	Kcng2	0.63930053	8.58E-06	NAc_Sal	NAc	Sal	-0.084979262	0.796458481
"chr2,247813836,247814500"	Bmpr1b	1.499367127	5.83E-16	NAc_Sal	NAc	Sal	-0.052055482	0.867041882
"chr2,247813836,247814500"	Pdlim5	1.499367127	5.83E-16	NAc_Sal	NAc	Sal	-0.110958008	0.539859891
"chr20,19145877,19146769"	Linc00844	0.628707791	0.000113115	NAc_Sal	NAc	Sal	0	1
"chr20,19145877,19146769"	Phyhipl	0.628707791	0.000113115	NAc_Sal	NAc	Sal	0.11690831	0.250694676
"chr20,20045513,20046077"	Ank3	0.644370641	1.34E-06	NAc_Sal	NAc	Sal	0.034570068	0.814419185
"chr20,9626391,9627118"	Glp1r	1.154298186	3.15E-07	NAc_Sal	NAc	Sal	-0.874710947	0.006564321
"chr20,9626391,9627118"	Saysd1	1.154298186	3.15E-07	NAc_Sal	NAc	Sal	-0.458189825	0.260244739
"chr4,31703008,31703581"	C7orf76	0.920944562	7.34E-05	NAc_Sal	NAc	Sal	0	1
"chr4,31703008,31703581"	Mir591	0.920944562	7.34E-05	NAc_Sal	NAc	Sal	0	1
"chr4,41696993,41697553"	Foxp2	1.376357205	1.09E-08	NAc_Sal	NAc	Sal	0.35428196	0.001488945
"chr4,41868277,41868875"	Foxp2	1.043740496	3.33E-10	NAc_Sal	NAc	Sal	0.35428196	0.001488945
"chr4,99901121,99902181"	9130221F21Rik	2.984193727	2.93E-08	NAc_Sal	NAc	Sal	0	1
"chr4,99901121,99902181"	Polr1a	2.984193727	2.93E-08	NAc_Sal	NAc	Sal	-0.004851113	0.991352199
"chr5,82656873,82657684"	Dbc1	0.841368135	2.12E-16	NAc_Sal	NAc	Sal	0	1
"chr5,82656873,82657684"	Tlr4	0.841368135	2.12E-16	NAc_Sal	NAc	Sal	-0.413425761	0.209432127
"chr6,70662197,70662651"	C14orf23	0.937379421	0.000878768	NAc_Sal	NAc	Sal	0	1
"chr6,70662197,70662651"	Mir548ai	0.937379421	0.000878768	NAc_Sal	NAc	Sal	0	1
"chr11,62555661,62556206"	Gap43	1.26698536	0.000227609	SVZ_Sal	SVZ	Sal	0.007229476	0.984995291
"chr11,62555661,62556206"	Mir4796	1.26698536	0.000227609	SVZ_Sal	SVZ	Sal	0	1
"chr14,81686849,81687737"	Rnf4	0.674477478	0.000335628	SVZ_Sal	SVZ	Sal	0.112557816	0.461977283
"chr14,81686849,81687737"	Zfyve28	0.674477478	0.000335628	SVZ_Sal	SVZ	Sal	0.628641342	1.59E-06
"chr4,99901121,99902181"	9130221F21Rik	10.92425833	6.43E-102	SVZ_Sal	SVZ	Sal	0	1
"chr4,99901121,99902181"	Polr1a	10.92425833	6.43E-102	SVZ_Sal	SVZ	Sal	0.133671584	0.26066849
"chr5,129539417,129539924"	Faf1	1.109304066	3.24E-06	SVZ_Sal	SVZ	Sal	0.03071125	0.864860167
"chr5,142660349,142661022"	Pou3f1	1.024797763	0.000123989	SVZ_Sal	SVZ	Sal	0.951606504	1.57E-07
"chr5,142660349,142661022"	Utp11l	1.024797763	0.000123989	SVZ_Sal	SVZ	Sal	0	1
"chr5,160086431,160086814"	Spen	1.524152547	6.57E-08	SVZ_Sal	SVZ	Sal	0.034450668	0.830663161
"chr5,89297324,89298130"	Rasef	0.957413792	0.000548818	SVZ_Sal	SVZ	Sal	0	1
"chr5,89297324,89298130"	Spata31d1	0.957413792	0.000548818	SVZ_Sal	SVZ	Sal	0.666059932	0.140063812
"chr6,110839162,110840007"	Irf2bpl	0.697344345	7.87E-05	SVZ_Sal	SVZ	Sal	0.373764353	3.91E-05
"chr6,110839162,110840007"	Lrrc74	0.697344345	7.87E-05	SVZ_Sal	SVZ	Sal	0.585542229	0.079628826
